name,url,street_address,city,state,zip_code,country,phone_number_1,phone_number_2,fax_1,fax_2,email_1,email_2,website,open_hours,latitude,longitude,facebook,twitter,instagram,pinterest,youtube
Hermès New York JFK International Airport Terminal 1,http://en.stores.hermes.com/North-America/United-States/New-York/Hermes-New-York-JFK-International-Airport-Terminal-1,New York International Airport Terminal 1,Jamaica,NY,11430,United-States,1 718 751 2891,,,,,,, monday to sunday:07:30am to 01:30am,40.643361,-73.789216,,,,,
Hermès New York Parfumerie,http://en.stores.hermes.com/North-America/United-States/New-York/Hermes-New-York-Parfumerie,Brookfield Place 225 Liberty Street Suite 125,New York,NY,10281,United-States,1 212 786 3311,,,,,,," monday to saturday:10:00am to 06:00pm, sunday:closed",40.711984,-74.015265,,,,,
Hermès New York Madison,http://en.stores.hermes.com/North-America/United-States/New-York/Hermes-New-York-Madison,691 Madison Avenue,New York,NY,10065,United-States,1 212 751 3181,,+ 1 212 751 8143,,,,," monday to saturday:10:00am to 06:00pm, thursday:10:00am to 07:00pm, sunday:closed",40.7655,-73.969671,,,,,
Hermès Palo Alto,http://en.stores.hermes.com/North-America/United-States/Palo-Alto/Hermes-Palo-Alto,660 Stanford Shopping Center #317B,Palo Alto,CA,94304,United-States,650-321-2466,,,,,,," monday to saturday:10:00am to 06:00pm, sunday:closed",37.441925,-122.171932,,,,,
Hermès San Diego,http://en.stores.hermes.com/North-America/United-States/San-Diego/Hermes-San-Diego,7007 Friars Road,San Diego,CA,92108,United-States,1 619 574 9570,,,,,,," monday to saturday:10:00am to 06:00pm, sunday:closed",32.767446,-117.165648,,,,,
Hermès San Francisco,http://en.stores.hermes.com/North-America/United-States/San-Francisco/Hermes-San-Francisco,253 Post St.,San Francisco,CA,94108,United-States,1 415 391 7200,,+ 1 415 362 3209,,,,," monday to saturday:10:00am to 06:00pm, sunday:closed",37.788405,-122.405977,,,,,
Hermès San Francisco Airport,http://en.stores.hermes.com/North-America/United-States/San-Francisco/Hermes-San-Francisco-Airport,"San Francisco International Airport 100 International Loop, Concourse G",San Francisco,CA,94128,United-States,1 650 246 3077,,,,,,, monday to sunday:08:30am to 11:30pm,37.615223,-122.389979,,,,,
Hermès Seattle,http://en.stores.hermes.com/North-America/United-States/Seattle/Hermes-Seattle,11111 NE 8th Street Suite 115,Bellevue,WA,98004,United-States,1 425 467 0500,,+ 1 425 467 0510,,,,," monday to saturday:10:00am to 06:00pm, sunday:closed",47.616604,-122.192653,,,,,
Hermès Short Hills,http://en.stores.hermes.com/North-America/United-States/Short-Hills/Hermes-Short-Hills,1200 Morris Turnpike,Short Hills,NJ,7078,United-States,973-376-6843,,973-376-8697,,,,," monday to saturday:10:00am to 06:00pm, thursday:10:00am to 07:00pm, sunday:closed",40.740126,-74.363464,,,,,
Hermès New York Wall Street,http://en.stores.hermes.com/North-America/United-States/New-York/Hermes-New-York-Wall-Street,15 Broad Street,New York,NY,10005,United-States,1 212 785 3030,,,,,,," monday to friday:10:00am to 06:00pm, saturday:11:00am to 06:00pm, sunday:closed",40.706479,-74.010371,,,,,
Hermès Waikiki,http://en.stores.hermes.com/North-America/United-States/Honolulu/Hermes-Waikiki,Royal Hawaiian Center 2301 Kalakaua Avenue,Honolulu,HI,96815,United-States,1 808 922 5780,,+ 1 808 926 7099,,,,, monday to sunday:10:00am to 10:00pm,,,,,,,
Hermès Washington D.C.,http://en.stores.hermes.com/North-America/United-States/Washington-D.C/Hermes-Washington-D.C,CityCenterDC 944 Palmer Alley NW,Washington,D.C.,20001,United-States,1 202 789 4341,,+ 1 202 789 4347,,,,," monday to saturday:10:00am to 06:00pm, sunday:closed",38.900252,-77.025557,,,,,
Hermès Westport at Mitchell's,http://en.stores.hermes.com/North-America/United-States/Westport/Hermes-Westport-at-Mitchell-s,At Mitchells 670 Post Road East,Westport,CT,6880,United-States,1 203 227 5165,,+ 1 203 454 2617,,,,," monday to friday:10:00am to 06:00pm, thursday:10:00am to 08:00pm, saturday:09:30am to 06:00pm, sunday:closed",41.138563,-73.344403,,,,,
Soho Shoe Salon Pop-Up,http://en.stores.hermes.com/North-America/United-States/New-York/Soho-Shoe-Salon-Pop-Up,63 Greene St.,New York,NY,10012,United-States,212-295-2420,,,,,,,"Tuesday to Saturday : 11 am to 7 pm, Sunday : 12 pm to 6 pm, Monday : closed",40.723125,-74.001185,,,,,
